Eid,shift,age
381,night,42
382,afternoon,35
383,morning,64
384,morning,93
385,morning,6
386,night,10
387,afternoon,52
388,night,3
389,morning,27
390,night,29
391,morning,25
392,afternoon,36
393,night,5
394,night,75
395,morning,17
396,morning,53
397,afternoon,90
398,night,59
399,morning,25
400,afternoon,36
